18,Awesome new app\, so far so good.,US,2014-07-15 04:36:00,5,Gottaloveit420!,Great... Love it,427932542,
19,Love recording sound bites of where I am and what I'm doing .,US,2014-07-14 21:52:00,5,M19876,Fun!,427932542,
12322,This used to be my favorite movie app--I could easily search by theater or movie\, but now that it has been 'improved' it is much harder to navigate.,US,2013-12-11 11:37:00,1,Kopiwallah,User,405894842,
12323,The update is cool and smooth but may add more theatres for south...,US,2013-12-10 14:59:00,4,Apple Enthusiast 07,May Add more theatres,405894842,
12324,Go to the movies tab\, select movie\, click book \, select theatre and bam ' no show timings comes up'. I wasn't able to book ticket because it always get stuck at the show time screen.Really fed up after updating to new version. UI looks decent but it should help to book ticket and that's absolutely not happening.I request the Book my show team to have a look at the issue and come up with a new updated version.,US,2013-12-09 05:38:00,1,Aishkar,Show timing never come up,405894842,
12325,The app is very responsive. It's simple clean and easy to use. Loved it,US,2013-12-07 18:31:00,5,Aravind Nair,Excellent app,405894842,
12326,Great on my iPhone. Terrible on the iPad Air,US,2013-12-07 05:49:00,2,Avneesh Setia,STILL NO IPAD SUPPORT,405894842,
12327,Only looks good..but its very very slow..not loading shows at all...:/,US,2013-12-07 03:47:00,1,Violetrooms,Super slow,405894842,
12328,Great Job team on designing an implementing the new UIIt so much smoother and has such a fresh feeling to itEnough for me to go to reviews page and take the efforts to write oneKudos on job well done !,US,2013-12-07 03:09:00,5,niravmsh,Now thats a real nice UI,405894842,
12329,Gr8 work with v2.,US,2013-12-06 13:04:00,5,funk2406,Amazing..!!,405894842,
12330,Useful for movie tickets and concert booking,US,2013-10-04 06:16:00,5,BeingKind,Good one,405894842,
12331,Had good expectations from the app\, but it fails to provide even the basic functionality. To mention a few.- Incomplete movie information i.e. not all shows displayed\, seats available are not visible correctly- Even if you are able to select a show most of the times there would be connectivity issue message displayedEven the feedback email mentioned in the app does not exist!!!,US,2013-09-30 17:10:00,1,SaintlyVoice,To book or not to book?,405894842,
12332,The passbook integration does not work many times. Also the app interface is not that great but a lot dull. All in all a good app for booking tickets on the go but needs a little more touch to make it more easier to use.,US,2013-08-13 16:40:00,3,Cam139894,Not that Great!,405894842,
12333,App is not working from past 2 weeks it is throwing error occurred message when ever opened the app and tapped on movies. Same repeated if cleared cache and tried to see movies,US,2013-07-23 12:37:00,1,MXMHYF,App is not working from past 2 weeks,405894842,
12334,It's better to use the website than this app\, after the city is selected the app does not go any further the same page keeps repeating,US,2013-07-23 12:24:00,1,JVKR,Does not work at all,405894842,
12335,It has passbook integration only when booked from the app and shows empty seats full when booking from app which can be booked from PC/Laptop/website.What is the purpose when it can not go for things it is designed for?Poor app,US,2013-07-06 04:58:00,1,kanav1234,shows vacant seats full.,405894842,
12336,Where is the passbook integration mentioned in the notes??We need GPS!Need a dedicated app for iPads!Provide us with IMDB like information for at least running and upcoming movies.Wish list should be setup so when a movie you wished releases in theaters\, you should be intimated\, and so on.All in all\, great effort!!,US,2013-05-17 02:41:00,4,Ali Ansari,Can be better\, but is the best one,405894842,
12337,This app was good bfore but now it is quitting while we launch the app unnecessarily,US,2013-04-24 02:33:00,1,Pradeepsrocks,App shutting down,405894842,
12338,I love the simplicity of the app...works perfectly on iphone 5....guys throw away ur junks if it crashes...,US,2013-03-30 13:35:00,5,Scruxoman,Awesome app...,405894842,
12339,Since dAY bfr yestrday march 11' 2013\, thE app crashes everytym i open up thE app.. :-( plz fix asap,US,2013-03-13 14:09:00,2,Bhaviabi,App crashes,405894842,
12340,No support for ipad. Very bad,US,2012-12-25 06:26:00,1,Ififthelement,No support for ipad. Very bad,405894842,
12341,Now with iOS6 out & Apple bringing new feature with Passbook\, it will good to see BookMyShow app to add this to its functionality.,US,2012-10-06 12:07:00,3,Akkiankurgupta,Adding support with passbook,405894842,
12342,Does it's job fairly well\, but off late it's crashing at startup. Quite annoying. Please fix asap,US,2012-07-28 04:04:00,4,ManuVyas,Decent,405894842,
12343,The best shopping app I have seen coming out of India. I wish other Indian coders learn interface design like this.,US,2012-07-16 06:12:00,5,amosdad,Excellent App - great interface,405894842,
12344,It's a great app. I booked my tickets through it a few times and it was very convenient. But it has started crashing on startup. I booked the ticket but when I had to show the booking details at the theater\, the app didn't start. Pl fix it as soon as possible.,US,2012-05-12 08:32:00,3,Sidd&Mukta,Crashes!,405894842,
12345,App for mobile ticketing,US,2012-04-28 05:12:00,5,Awmsm,Best,405894842,
12346,Not installing and crashing the phone. What crap v,US,2012-04-25 02:03:00,1,avidamani,Crap,405894842,
12347,The latest version crashes on startup. Please fix ASAP.,US,2012-01-22 20:58:00,2,AnirbanSen,New version crashes,405894842,
12348,It was working just fine and I could book my tickets\, but now It gives me error -112,US,2011-12-07 09:24:00,4,PsYcH3d eL3m3nT,Why has it stopped working?,405894842,
12349,Its even better than apps available in US! The best part is it accurately gives u nearest movie halls by getting ur current locations. Love it!,US,2011-12-07 07:34:00,5,amankamboj1,Best online movie ticket booking app,405894842,
12350,It does it's work of booking a movie ticket and u can book without logging to a PC. Nothing more and nothing less.,US,2011-12-04 21:35:00,4,Sanjib75,It does it's work.....,405894842,
12351,Except for the very basic utilities required for booking a movie there is nothing else in this app! For gods sake atleast make a retina app icon! It's been more than a year since retina devices r around! App needs an urgent upgrade. Then maybe I'll give a better rating..,US,2011-09-24 00:32:00,2,Navneeth Rao,Very basic!,405894842,
12352,Very nice app,US,2011-09-10 13:29:00,5,MadanLanka,Gr88 app,405894842,
12353,A must have movie app in India.,US,2011-07-17 10:32:00,5,Hari Palat,A must have movie app in India.,405894842,
12354,An iPad version soon would be great.!!,US,2011-07-17 08:16:00,4,summi99,An iPad version soon would be great.!!,405894842,
12355,Apps looks ok but I don't find options to retrieve the existing booking..:-(,US,2011-07-06 10:05:00,3,Rajaji,Need option to retrieve booking,405894842,
12356,Nice app for indian movie lovers. Wish u make an ipad supported app,US,2011-06-30 18:45:00,4,Sriharsha Tikka,Need an ipad supported app,405894842,
12357,Nice to see an indian centric app that's useful. However\, with all the efforts they pit into this app\, you'd expect then to atleast make use of gps to locate the nearest cinema. Nevertheless\, the app is useful,US,2011-05-07 04:54:00,3,pawan chawla,No gps support?,405894842,
12358,Nice app..... not Listing all movies for particular cities... For eg RIO in Bhopal,US,2011-04-15 08:32:00,4,Sd-1991,Good .... Need to fix few issues,405894842,
12359,A must have application in India. If you want to be updated about what's on cinemas then this is for you.,US,2011-03-19 01:32:00,4,iAmitSethi,A must have application in India,405894842,
12360,Very useful n first for Indian cinemas. Love it.,US,2011-02-26 08:52:00,5,Pums,Excellent App,405894842,
12361,For booking movies in IndiaA must haveEasy to use,US,2011-02-23 08:58:00,5,empiroe,Must have,405894842,
12362,Very nicely done... Very convenient to book from my iPhone instead of through the computer. Very very nice!!,US,2011-01-25 04:15:00,5,Sabapathy,Nice tool to book,405894842,
12363,Good to see BMS is now available on iPhone... now I can book Movie tickets without visiting Safari/IE :),US,2011-01-02 07:43:00,4,ananddl,Good App,405894842,
12453,Instate of driving myself \,I use grab taxi to get my stuff from my client and send it to me by just sit down and waiting grab taxi coming and i know where he is every minute \, i think better than i have private messenger ^^,US,2014-12-29 14:05:00,5,samui13,Really useful more than just Taxi,647268330,
12454,I'm satisfied with how the app works. I feel safe and secure. Thanks! ,US,2014-12-29 10:15:00,5,Heyvincee,Impressive Service,647268330,
12455,Generally a good app but there are several areas where it could be improved. First and most important\, it sometimes gives up almost immediately in trying to find a taxi\, which sort of defeats the purpose of the app. The zoom level of the map when you're waiting for the taxi to arrive at the pickup point needs some refinement to the algorithm\, particularly if there is a wide distance between the pickup and drop off points. If you zoom in manually\, it zooms back out every time it refreshes the taxi's position. Would be better if it did not override a user's manual zoom. Its method of finding places for you pick as the start and stop points is a bit crude. The names of the locations also get cut off of they're too long to fit on one line\, so it can be a bit of trial and error to get the right one. It would helpful if one could simply enter an address directly. I've also noticed that on the taxi driver's display\, (sometimes) only the street address shows up\, which is not helpful in Singapore. It's also odd when I'm selecting the pickup point by condo name on my end\, which means there is a disparity between what the app is showing me and what it's showing the driver. Also needs an update for the iPhone 6 and 6+ as the keyboard is clunky when entering your searches. Still not good enough at identifying destinations.,US,2014-12-29 10:14:00,3,jam9999,Decent but flawed,647268330,
12456,good taxi good app,US,2014-12-29 05:27:00,5,ducbeo225,5stars,647268330,
12457,Tốt,US,2014-12-27 13:45:00,5,Jonnythach,Tốt,647268330,
12458,Grab taxi service is great,US,2014-12-27 09:57:00,4,Saochoicoi0910,Review,647268330,
12459,Usually I take Über but I thought I would give their premium 'GrabCar' service a try.PISS POOR SERVICE&EXPENSIVEI would pay a bit more for even more premium service\, but the service was sub-par.  Driver had an attitude and didn't know how to speak in the polite form of the Thai language.  I am a non-native speaker of Thai and I was offended.  Why should I pay double of what I usually pay for Über?  This service is NOT recommended.  I'll walk before I use this horrible service ever again.,US,2014-12-27 05:33:00,1,Usmc2049,Horrible,647268330,
12460,Everytime I ve got to catch a taxi\, I will use Grab app rather than normal way by contacting to a taxi company in order for them to assign a cab for me\, because it takes too long. With 3G and app already installed\, you can even catch a taxi instantly with lower price( grab has a lot of discount code-hope they maintain these promotional activities 4ever).,US,2014-12-26 03:19:00,5,Tastsu92,Faster and Cheaper,647268330,
12461,Cách đây 5 phút\, đứa cháu nó nghịch ứng dụng trên máy điện thoại của mình\, nên đã đặt xe\, nhưng may mà tài xế đã gọi xác nhận lại và đã kịp thời huỷ chuyến\, và tổng đài quản lý có gọi hỏi nguyên nhân. qua đó cho thấy chất lượng dịch vụ và chăm sóc của mình rất tốt.. 1 lần nữa xin lỗi nhà xe và vote cho 5 sao nhé hihi\, chúc thành công,US,2014-12-25 05:47:00,5,Henry Khanh,Xin lỗi GRABTAXI,647268330,
12462,It is very helpful in rainy days or long taxi queue,US,2014-12-24 11:24:00,5,beasusanto,Excellent taxi app,647268330,
12463,The app should allow you to specify that only taxis accepting card payment should bid.,US,2014-12-24 10:19:00,4,Scottinsingapore,Card payment,647268330,
12464,Good,US,2014-12-23 20:08:00,5,fonfivefa,Good,647268330,
12465,Feel good every time you have used the service.,US,2014-12-22 02:36:00,4,Nattaporn Khumkhrong,So good,647268330,
12466,สำหรับคนที่ต้องการใช้รถ เรียกผ่านแอปนี้ดีกว่าเรียกจากศูนย์อีก ได้รถขัวร์กว่า ไวกว่า แถมมีส่วนลดให้ตลอด ชอบมากๆๆ คนขับก็มารยาทดี พูดจาดี,US,2014-12-22 01:42:00,5,LadyLovePhotoblend,Good,647268330,
12467,Taxis never bid and I always have to keep searching. And when one bids it takes forever to get to my house. Half the time they don't move or are driving around in circles. Find more willing or competent drivers.,US,2014-12-21 09:03:00,1,Zurfer420,Better to download easy taxi.,647268330,
12468,Gud,US,2014-12-21 06:35:00,4,Namtran hao,Idea,647268330,
12469,1.Bản đồ chưa cập nhật chính xác\, tên các điểm đón khách. Nên có chức năng bổ sung địa điểm đón trả khách để lần sau điền thông tin chính xác hơn cho việc tìm kiếm2. Các e-receipt của chuyến đi cập nhật thất thường\, lúc có lúc không. Nên để tự đọng của hệ thống và trả lại ngay khi hoàn tất chuyến đi,US,2014-12-18 15:31:00,4,TomMeo,Cải tiến dịch vụ,647268330,
12470,Safe\, save\, sound and stable price,US,2014-12-18 14:44:00,5,Tusedo,Safe\, save\, sound.,647268330,
12471,Hassle free and reliable application,US,2014-12-16 02:39:00,5,Kkiee79,Great!,647268330,
12472,Tried it first and fall in love with it in singapore. Not sure if it works as good as in singapore. Will try in indonesia later.,US,2014-12-15 12:04:00,4,Victor S Gunadi,Best taxi apps so far,647268330,
12473,Ive been waiting for 33mins.  Then the driver cancelled my booking. This is from Pasay-Makati only. Very bad service for a first time user. Will you pay for the minutes I was late? Very bad.,US,2014-12-14 22:14:00,1,Dan112689,Bad Service,647268330,
12474,Good for passengers and drivers. Difficult to get taxi these days through flagging them down. Calling in is a pain too due to the wait time. Great app!,US,2014-12-14 10:23:00,5,Tuan Lin Tan,Convenience is key,647268330,
12475,I've taken this service three times and i'm very satisfied with drivers. I also feel safe when I take GrabTaxi at night. I would like to recommend this service to you.,US,2014-12-13 20:33:00,5,iMhen9,Good service,647268330,
12476,Great App,US,2014-12-13 15:42:00,5,Chitsanupong Kamwan,Very Helpful!,647268330,
12477,Tried it for the first time and grabbed a taxi after a few minutes\, which was great given the Christmas rush and all. Driver was also respectful and friendly!,US,2014-12-13 13:17:00,4,Ruel de Jesus,Great app!,647268330,
12478,I no longer use normal taxis!,US,2014-12-12 06:46:00,5,puimono,great!,647268330,
12479,Easy to use. Convenient. Good work.,US,2014-12-11 07:33:00,5,LongVH1199,Exellent app,647268330,
12480,Its not working. Im just getting apologizing message!!!,US,2014-12-10 11:26:00,1,Nickijed,Crap,647268330,
12481,Eco transportation.,US,2014-12-09 05:56:00,5,Jason-world,Its good,647268330,
12482,Very good,US,2014-12-08 13:30:00,5,trungtb,Good,647268330,
12483,Quá tuyệt,US,2014-12-08 11:16:00,5,Nguyendung_127,Tuyệt,647268330,
12484,In the mood of hurry\, Grabtaxi can make it.,US,2014-12-08 02:18:00,5,Shopoper,Great app !,647268330,
12485,Excellent app. Really helps us a lot in commuting. No need to fall in the long line in the mall taxi stand. This is my third time and the fare meter is always fair. I always pay Php250 from Trinoma to my house but this time its only Php130. WOW!! No need to think twice to share tips to my driver. Thank you and keep it up.,US,2014-12-07 15:37:00,5,Mang Do,Safe and trustworthy,647268330,
12486,10 10 10,US,2014-12-07 12:37:00,5,Narawut Na Phattalung,:3,647268330,
12487,First time user clean taxi did not argue about price like others\,being a Ex pac all taxi driver hit you with top peso a then going the long way. Will use the Service.  Again.,US,2014-12-07 10:40:00,5,Georgemaerki,Outstanding,647268330,
12488,Very useful app! Specially here in Thailand,US,2014-12-07 09:50:00,5,Lostinthailand,Great app,647268330,
12489,After agreeing to pick me up driver just cancelled no reason and NO notification would only use this service in utter emergency,US,2014-12-07 05:51:00,1,SingMum,TERRIBLE,647268330,
12490,Sit and relax then it picked me up at my door,US,2014-12-07 01:18:00,5,icehitter,Very convenient!,647268330,
12491,I like it,US,2014-12-06 03:29:00,4,Tuanbi,Good,647268330,
12492,NOT RELIABLE AND VERY INCONVENIENT! Drivers refuse certain locations. Even when there are several available units nearby\, app says none can cater. It does not serve its purpose to make travel experience easier for people.,US,2014-12-05 01:48:00,1,hachikolover,BAD REVIEW,647268330,
12493,Dịch vụ khá mới tại Việt Nam và hoạt động khá chuyên nghiệp hiệu quả!,US,2014-12-04 10:59:00,5,gauxanh2,Dịch vụ tốt,647268330,
12494,I like Grab. I can track loved ones and ensure their safety,US,2014-12-04 10:39:00,5,MKG116,Very cool,647268330,
12495,Good Good,US,2014-12-01 13:17:00,5,Ang In,Good,647268330,
12496,Cabs are clean\, ride is (generally) smooth; drivers are polite and easy to contact. No haggling!! No more queues!!!,US,2014-12-01 12:39:00,5,HelL'sBiTcH,Grab all the way!,647268330,
12497,First time Taxi calling took 3 times requesting. Second time calling takes 5 times and all Taxi are rejected.,US,2014-12-01 01:40:00,2,Piyanut_m,Driver lack,647268330,
12498,Tien dung,US,2014-11-30 09:24:00,5,Cukenpis,App hay,647268330,
12499,Check it out! It's so useful.. Especially here in Thailand\, you can find good drivers from this App. Plus\, this app allows you to track the route till you reach the destination. Recommend it!,US,2014-11-29 03:48:00,5,Iamwatnee,Useful App,647268330,
12500,awesome app,US,2014-11-28 23:16:00,5,JP Chu,awesome app,647268330,
12501,Got to be kidding me! Assigned taxi was given wrong address not mine. We waited half an hour for each other just now. How is this possible?? I even saw the wrong address on drivers screen. Crazy. No wonder I've been having no-shows many times. Concept is faulty because it assigns cab in a straight line distance although by road may take 20x longer even without traffic. Cabbie is also able to accept job before dropping off current passenger who may alight at a far away place. This will explain inaccurate times given. Where it said 2 mins to arrive\, it usually took 30-45 minutes. Certainly not a reliable booking service especially when time is short. Stick to apps where driver is able to manually input the time and empty cab.I believe most of these positive reviews are planted.,US,2014-11-27 07:38:00,1,Mommyof2QTPi,Not for those in a hurry,647268330,
12502,Good job!!!!,US,2014-11-27 00:06:00,5,pinoy32,Love it :),647268330,
12503,How ro avail the promo code sayang kasi im rusing it and in 1minute my taxi na ako kaso panu mag avail,US,2014-11-25 23:26:00,4,Jackerene,Promo,647268330,
12504,Good,US,2014-11-25 07:47:00,5,Mio1986,Hi,647268330,
12505,Helpfull apps and it works! Perfect for rainy jakarta\, and get taxi easily.Uber cool!?!,US,2014-11-25 06:12:00,5,Hanada0504,Super cool apps,647268330,
12506,Never replies nor addresses any complaints or feedback,US,2014-11-24 11:16:00,1,weisheng92,Poor customer service,647268330,
12507,While the taxi came quick\, Grab taxi UWE 587 Mark Anthony. Driver is wreckless texting and calling while driving. We almost had a vehicle accident twice with a bus and a motorcycle with 2 riders. My laptop and pouch scattered on the car floor.  Not a good representation of grab taxi as you claim 'Safety in your daily Commute. I paid more than I should.,US,2014-11-24 00:26:00,1,Samverna,Complaint,647268330,
12508,I love this app !!! You know why\,coz very polite and handsome drivers\,lol,US,2014-11-23 18:53:00,5,simwer24,Fin,647268330,
12509,Solid execution in Bangkok.,US,2014-11-22 02:24:00,5,Kung Fu Toe Knee,BKK FRIENDLY,647268330,
12510,Nhanh\, ngon\, bổ\, rẻ,US,2014-11-20 13:11:00,5,KC9US,Rất tiện,647268330,
12511,Helpful app,US,2014-11-20 12:04:00,5,Thanhbinhtgs,App,647268330,
12512,Great idea.,US,2014-11-18 11:55:00,5,Kikio87,Nice apps,647268330,
12513,Got on a Grab Taxi ride this morning... Hassle-free booking\, courteous driver and comfortable ride plus got 100 pesos off! What more can you ask for in a PUJ ride?!?,US,2014-11-18 02:19:00,5,micaym,Great app!,647268330,
12514,I use it a lot\, so definitely useful.,US,2014-11-18 01:24:00,4,cicimars,It's awesome!,647268330,
12515,Been using this app for a while and I really love it. Please fix the car tracker as it does not work sometimes.,US,2014-11-17 16:11:00,4,Athenia89,Very helpful!,647268330,
12516,The drivers are really friendly :),US,2014-11-17 12:08:00,5,starfishjelly,Awesome service! :),647268330,
12517,The best taxi booking app ever!,US,2014-11-14 01:55:00,5,CarloLorenzo,Reliable and convenient!,647268330,
12518,Amazing app. You book a taxi on your phone. You get assigned a driver. The app tells you what the driver's license plate number is so you know which is your taxi. You can see on a real time map where the driver is. There is a booking fee\, but even if you flag down a taxi on the street you pay an extra fee. I like this app!,US,2014-11-13 22:47:00,5,Radzin,Awesome,647268330,
12519,The biggest benefit that Heilo or EasyTaxi have over GrabTaxi is the others' ability to make direct payments using a credit card stored on the profile. Would definitely use GrabTaxi more if they supported that payment form as well.,US,2014-11-13 14:53:00,3,Mikeradu,Good app but no way to pay thru the app,647268330,
12520,Very interesting,US,2014-11-11 18:11:00,5,Nata Nguyen Quoc Zhang,I love this app,647268330,
12521,Responsif\, estimasi kedatangan akurat,US,2014-11-11 08:36:00,5,Ron_pml,Mantap,647268330,
12522,Origin was near Orchard Rd Singapore so no great surprise to see over 100 taxis in vicinity but taxi was clean inside and out and driver polite. He's pro the app - had often made or exceeded his target and won prizes. If this translates into easy accessibility then I'm for taxi apps. Next time must try on a rainy day or peak hours!,US,2014-11-10 01:07:00,4,feipor,Decent availability,647268330,
12523,Convenience and comfortable,US,2014-11-09 04:24:00,5,db_elle99,Great taxi app!!,647268330,
12524,This works great in the Philippines.  I hope they would increase the number of taxis that can bid at a time. I almost always just get 5. I've used this app more than 15 times and quite a number of drivers are complaining about your service (to them) which is quite concerning.  I know this does not really impact me but it still raises my concern to the company.,US,2014-11-08 16:06:00,4,SimplicityCat,Helpful app,647268330,
12525,It is very efficient and stylish! I feel like a VIP or a celebrity! Haha! Also the drivers are nice especially to Sir Mervin! KUDOS!,US,2014-11-07 20:11:00,5,Kevin Bularan,Lovin the GrabCar!!,647268330,
12526,Good service,US,2014-11-03 15:32:00,5,Yen Nguyen,I'm happy with this,647268330,
12527,Quick\, app however is difficult to know the reason why drivers won't take you. I feedback mechanism should exist both ways.,US,2014-11-03 08:19:00,3,Marianis a,Good app,647268330,
12528,Its revolutionary! Exactly what i'm looking for. Hassle free app.,US,2014-10-31 13:55:00,4,Dj bonjj,Great service; courteous driver!!,647268330,
12529,Excellent app,US,2014-10-30 13:31:00,5,To Thai Ninh,Awesome,647268330,
12530,Best app and best business for taxi and passenger\, it's bring my life better,US,2014-10-28 16:46:00,5,Pimimera,Best ever Aap,647268330,
12531,Exactly what I've been searching for in Bangkok! Great job,US,2014-10-28 01:57:00,5,Mike_Crosby,Great Service,647268330,
12532,บริการดี รวดเร็ว พนักงานขับรถมารยาทดีมากๆค่ะ,US,2014-10-26 02:53:00,5,Strawberry-t,ดีมาก,647268330,
12533,good app,US,2014-10-24 13:26:00,5,muggleFP,,647268330,
12534,I'm really pleased with GrabTaxi. The only thing I don't like is that sometimes no taxi drivers would pick me. So there are times that I need to wait a lot before I get a driver. Apart from that\, it works pretty nice!,US,2014-10-24 13:22:00,4,Edanherg,Very nice app!,647268330,
12535,Great!!!,US,2014-10-24 12:23:00,4,Ma Cristina F Bate,Very efficient and safe :),647268330,
12536,Was able to find a taxi quick\, but the time it took the taxi to come was estimated at 3-5 mins. After 10 mins I canceled the taxi and grabbed the first taxi that stopped for me.,US,2014-10-24 01:17:00,3,Jason671,Grab A Taxi,647268330,
12537,Great!,US,2014-10-23 12:58:00,5,LittleFJ.,Good service.,647268330,
12538,The app isn't working with my iphone6 plus. It's not picking up my location. Location service isn't working. Can't search location eitherrrr.,US,2014-10-23 11:02:00,1,Toan VN,Not working probably with iphone 6 plus,647268330,
12539,Great app to find a good driver ,US,2014-10-22 09:11:00,5,Zetaria,Fantastic app!!!,647268330,
12540,Good !,US,2014-10-21 17:18:00,5,Saj.sky,...,647268330,
12541,Very interesting app. Works everytime.,US,2014-10-20 11:57:00,4,Carl from Cebu,Awesome app!,647268330,
12542,This app helped me a lot to get taxis in Singapore.. Thank you,US,2014-10-19 17:08:00,5,Sultan S. Alsharif,Best app to get a taxi,647268330,
12543,i'll alway use this app,US,2014-10-19 09:07:00,5,AyB pro,good app,647268330,
12544,Good app.,US,2014-10-18 00:04:00,5,TonyNguyen306,Good,647268330,
12545,Quick\, convenient\, reliable. Best taxi app in Singapore - PERIOD!,US,2014-10-17 07:50:00,5,VAColinm,Business user,647268330,
12546,แอ้ปนี้ดีจริงดีจัง ใช้ครั้งแรกติดใจเลย แต่สำหรับผุ้ที่ไม่เคยใช้ เวลาสมัครแนะนำให้มีโค้ดของพี่แท้กซี่ใส่ไปด้วย เพื่อทีี่จะได้ลด50บาทคร้ั้งแรก ถ้าไม่มีโค้ด เอาชองพี่แท้กซี่คนแรกของเราไปก้อได้ โค้ดพี่แท้กซี่เค้าคือ C346F8 ถ้าใส่โค้ดตอนสมัคร พอขึ้นรถให้บอกพี่แท้กซี่ว่ามีโค้ด แล้วเค้าก้อจะลดให้50บาท ดีดีจัง แต่เฉพาะครั้งแรกนะ เอาหละเราถึงที่หมายแล้วคะ ชอบชอบค่ะ บายยยย,US,2014-10-16 18:23:00,5,uppercuttz,ดีมั่กๆเลย ชอบๆๆๆ,647268330,
12547,110 taxis near me it said. 6+ times I had to request a taxi. Finally a taxi will 'arrive in 2 minutes'. After watching him drive a huge circle around and away from my location I called him - he had a new customer. 17 minutes wasted. Ask me for screenshots. Don't I have a profile that says I'm a reliable customer? Where's my chance to rate that driver that abandoned me? (After I hung up I opened the app back up only to find the booking canceled.),US,2014-10-13 06:56:00,1,Rob in Seoul,Bangkok --> bad service,647268330,
12548,Great taxi finder app. Quick response from driver.,US,2014-10-11 06:55:00,4,cOppuck,Great Taxi Finder App,647268330,
12549,I travel a lot within the region so it's great that there is one single app that works flawlessly in the counties that I visit. Great job team Grab Taxi!,US,2014-10-07 21:48:00,5,cutetoes123,Fantastic App- works every time!,647268330,
12550,convenient\, accurate and user friendly. I use taxi more for this friendly app. keep doing great job.,US,2014-10-07 01:23:00,5,LOF ( lots of fun ),i love this app,647268330,
12551,This is great service at Vietnam since we have promoted by some Provider Services,US,2014-10-06 15:37:00,4,Chuong Thien,Great working,647268330,
12552,Easy comfort,US,2014-10-05 20:15:00,5,Noey222001,Nice n easy,647268330,
12553,I like that,US,2014-10-05 11:17:00,4,maianh2990,Good,647268330,
12554,As Comfort Delgro's service is crappy (just no taxis available)\, this taxi service gives a good overview where available taxis are. And... The taxi driver benefits also from grabtaxi. So better for both of us!,US,2014-10-05 00:44:00,4,stephanie down to earth,Better than comfort,647268330,
12555,เยี่ยมมาก สะดวก รวดเร็ว ปลอดภัย,US,2014-10-03 16:39:00,5,Pisid,Good,647268330,
12556,Reliable and efficient Comes handy if you don't want to wait for Taxi Cabs or want to take a break from driving.The cars and drivers that I've had are excellent! Wait time doesn't match what the locator says though. Takes longer than usual,US,2014-10-03 03:08:00,4,Surfin in Bali,Grab Car worthy,647268330,
12557,Works like a charm in SG.,US,2014-10-01 09:55:00,5,SGworkout,Singapore,647268330,
12558,It's working well in Thailand(Bangkok) and Malaysia(KL). No bugs has found. Keep going GrabTaxi!,US,2014-10-01 02:11:00,5,Nam Chanthawas,Great app,647268330,
12559,Convenience application when you have a hard time to find Taxi,US,2014-09-30 18:23:00,5,Mint047,Good app,647268330,
12560,This App is a great idea; however\, the inability to ADD locations is a major hindrance. In Bangkok many of the taxi drivers are struggling with the maps apparently. Drivers get lost. I speak fluent Thai\, and the drivers still struggle to find the pickup locations. Being able to type in notes does help.  That is a definite plus!,US,2014-09-30 11:29:00,2,Cakrit,Needs a lot of work,647268330,
12561,Gọi taxi rất dễ\, có khuyến mãi nhiều!,US,2014-09-29 01:06:00,5,Thanh Tommy,Dễ sử dụng!,647268330,
12562,I was a first-time user and it worked well for me on a Saturday night\, Vivocity closing time. The driver was also very courteous and careful. Grabtaxi may just become a habit for me here in Singapore!,US,2014-09-27 14:56:00,4,Dragondayz,Good Experience,647268330,
12563,The update made the app crash on ios7. Can't even use it.,US,2014-09-26 14:35:00,1,Jampoysobrangpogi,Doesnt work on ios 7.,647268330,
12564,It crashes.. So impossible to order a taxi. Moving to the next app that can actually let you order a taxi,US,2014-09-26 10:29:00,1,JohnsterE,Unusable,647268330,
12565,Grabtaxi's great advantage over the cab company booking apps is that all nearby cabs can bid\, & you know how many are out there. It's frustrating when none of them bid\, though. When they do\, it's fast & easy to talk to the driver.,US,2014-09-26 09:56:00,4,newschaser,When they come\, it's great,647268330,
12566,I was a first-time user. App worked well. The app is user friendly and very convenient to use. Thanks.,US,2014-09-26 09:18:00,4,Edwin Santiago,Very convenient,647268330,
12567,There is no point having an app like this for a city like Saigon\, since the taxi drivers and don't get the point of the service. I tried using this app four times. Never got a cab.,US,2014-09-24 09:37:00,1,Saigon customer,App is ok\, service is useless,647268330,
12568,The previous version worked just fine but as soon as I updated the app crashed when I tapped on the from or the to section. So I couldn't book any taxis. I hope this problem got fixed soon,US,2014-09-22 13:04:00,1,Random Girl 006,It crashes,647268330,
12569,One of the best app that I've used so far,US,2014-09-21 20:14:00,5,Binsss,Must have,647268330,
12570,Excellent,US,2014-09-20 14:35:00,5,Spsatrio,Grab taxi singapore,647268330,
12571,This app used to work with ios 7 but after when apple released the update for ios 8 it keeps on closing itself. The app suddenly closes when trying book. Please fix not a happy camper here  . I can't book anymore.,US,2014-09-20 03:33:00,1,Rui Mc-ian,Not working on ios 8,647268330,
12572,Grab Taxi Vietnam : Gọi taxi rất dễ dàng,US,2014-09-20 01:21:00,5,quang3632456,Grab Taxi Vietnam,647268330,
12573,For Pattaya Thailand\, seems the foursquare data\, that is often very wrong\, is all it can use. Needs something better\, especially for major business locations.,US,2014-09-19 04:48:00,2,Farang46168,Needs work,647268330,
12574,Current version 2.5.6 continually crashes with ios8.  Unable to use the app at all. Wait for update!,US,2014-09-19 03:14:00,1,mn-matt,Wait for update...,647268330,
